ref,row,col,phys_row,row_gpio,col_gpio,name,label_html,x_mm,y_mm,w_u,h_u,rot_deg,diode_ref,diode_x_mm,diode_y_mm,diode_rot_deg,stabilizer
SW1,0,0,0,GP2,GP8,Esc,Esc,9.525,9.525,1.0,1.0,0,D1,9.525,14.625,90.0,
SW2,0,1,0,GP2,GP9,F1,F1,28.575,9.525,1.0,1.0,0,D2,28.575,14.625,90.0,
SW3,0,2,0,GP2,GP10,F2,F2,47.625,9.525,1.0,1.0,0,D3,47.625,14.625,90.0,
SW4,0,3,0,GP2,GP11,F3,F3,66.675,9.525,1.0,1.0,0,D4,66.675,14.625,90.0,
SW5,0,4,0,GP2,GP12,F4,F4,85.725,9.525,1.0,1.0,0,D5,85.725,14.625,90.0,
SW6,0,5,0,GP2,GP13,F5,F5,104.775,9.525,1.0,1.0,0,D6,104.775,14.625,90.0,
SW7,0,6,0,GP2,GP14,F6,F6,123.825,9.525,1.0,1.0,0,D7,123.825,14.625,90.0,
SW8,0,7,0,GP2,GP15,Home,Home,142.875,9.525,1.0,1.0,0,D8,142.875,14.625,90.0,
SW9,1,0,1,GP3,GP8,HanZen,半/全,9.525,28.575,1.0,1.0,0,D9,9.525,33.675,90.0,
SW10,1,1,1,GP3,GP9,N1,1,28.575,28.575,1.0,1.0,0,D10,28.575,33.675,90.0,
SW11,1,2,1,GP3,GP10,N2,2,47.625,28.575,1.0,1.0,0,D11,47.625,33.675,90.0,
SW12,1,3,1,GP3,GP11,N3,3,66.675,28.575,1.0,1.0,0,D12,66.675,33.675,90.0,
SW13,1,4,1,GP3,GP12,N4,4,85.725,28.575,1.0,1.0,0,D13,85.725,33.675,90.0,
SW14,1,5,1,GP3,GP13,N5,5,104.775,28.575,1.0,1.0,0,D14,104.775,33.675,90.0,
SW15,1,6,1,GP3,GP14,N6,6,123.825,28.575,1.0,1.0,0,D15,123.825,33.675,90.0,
SW16,1,7,1,GP3,GP15,BSpcL,BS,142.875,28.575,1.0,1.0,0,D16,142.875,33.675,90.0,
SW17,2,0,2,GP4,GP8,Tab,Tab,14.288,47.625,1.5,1.0,0,D17,14.288,52.725,90.0,
SW18,2,1,2,GP4,GP9,Q,Q,38.1,47.625,1.0,1.0,0,D18,38.1,52.725,90.0,
SW19,2,2,2,GP4,GP10,W,W,57.15,47.625,1.0,1.0,0,D19,57.15,52.725,90.0,
SW20,2,3,2,GP4,GP11,E,E,76.2,47.625,1.0,1.0,0,D20,76.2,52.725,90.0,
SW21,2,4,2,GP4,GP12,R,R,95.25,47.625,1.0,1.0,0,D21,95.25,52.725,90.0,
SW22,2,5,2,GP4,GP13,T,T,114.3,47.625,1.0,1.0,0,D22,114.3,52.725,90.0,
SW23,2,6,2,GP4,GP14,DelL,Del,133.35,47.625,1.0,1.0,0,D23,133.35,52.725,90.0,
SW24,3,0,3,GP5,GP8,Caps,Caps,16.669,66.675,1.75,1.0,0,D24,16.669,71.775,90.0,
SW25,3,1,3,GP5,GP9,A,A,42.863,66.675,1.0,1.0,0,D25,42.863,71.775,90.0,
SW26,3,2,3,GP5,GP10,S,S,61.913,66.675,1.0,1.0,0,D26,61.913,71.775,90.0,
SW27,3,3,3,GP5,GP11,D,D,80.963,66.675,1.0,1.0,0,D27,80.963,71.775,90.0,
SW28,3,4,3,GP5,GP12,F,F,100.013,66.675,1.0,1.0,0,D28,100.013,71.775,90.0,
SW29,3,5,3,GP5,GP13,G,G,119.062,66.675,1.0,1.0,0,D29,119.062,71.775,90.0,
SW30,3,6,3,GP5,GP14,EnterL,Enter,140.494,66.675,1.25,1.0,0,D30,140.494,71.775,90.0,
SW31,4,0,4,GP6,GP8,LShift,Shift,21.431,85.725,2.25,1.0,0,D31,21.431,90.825,90.0,2.25u
SW32,4,1,4,GP6,GP9,Z,Z,52.388,85.725,1.0,1.0,0,D32,52.388,90.825,90.0,
SW33,4,2,4,GP6,GP10,X,X,71.438,85.725,1.0,1.0,0,D33,71.438,90.825,90.0,
SW34,4,3,4,GP6,GP11,C,C,90.487,85.725,1.0,1.0,0,D34,90.487,90.825,90.0,
SW35,4,4,4,GP6,GP12,V,V,109.538,85.725,1.0,1.0,0,D35,109.538,90.825,90.0,
SW36,4,5,4,GP6,GP13,B,B,128.588,85.725,1.0,1.0,0,D36,128.588,90.825,90.0,
SW37,4,6,4,GP6,GP14,EscL,Esc,147.638,85.725,1.0,1.0,0,D37,147.638,90.825,90.0,
SW38,5,0,5,GP7,GP8,Fn1,Fn1,11.906,104.775,1.25,1.0,0,D38,11.906,109.875,90.0,
SW39,5,1,5,GP7,GP9,LCtrl,Ctrl,35.719,104.775,1.25,1.0,0,D39,35.719,109.875,90.0,
SW40,5,2,5,GP7,GP10,LGui,Win,59.531,104.775,1.25,1.0,0,D40,59.531,109.875,90.0,
SW41,5,3,5,GP7,GP11,LAlt,Alt,83.344,104.775,1.25,1.0,0,D41,83.344,109.875,90.0,
SW42,5,4,5,GP7,GP12,Muhenkan,無変換,107.156,104.775,1.25,1.0,0,D42,107.156,109.875,90.0,
SW43,5,5,5,GP7,GP13,SpaceL,Space,140.494,104.775,2.25,1.0,0,D43,140.494,109.875,90.0,2.25u
SW44,5,6,6,GP7,GP14,EnterT,Enter,109.538,123.825,1.5,1.0,0,D44,109.538,128.925,90.0,
