ref,row,col,phys_row,row_gpio,col_gpio,name,label_html,x_mm,y_mm,w_u,h_u,rot_deg,diode_ref,diode_x_mm,diode_y_mm,diode_rot_deg,stabilizer
SW1,0,0,0,GP2,GP8,Blank1,,4.763,9.525,1.0,1.0,0,D1,4.763,14.625,90.0,
SW2,0,1,0,GP2,GP9,Ins,Ins,23.812,9.525,1.0,1.0,0,D2,23.812,14.625,90.0,
SW3,0,2,0,GP2,GP10,F7,F7,42.863,9.525,1.0,1.0,0,D3,42.863,14.625,90.0,
SW4,0,3,0,GP2,GP11,F8,F8,61.913,9.525,1.0,1.0,0,D4,61.913,14.625,90.0,
SW5,0,4,0,GP2,GP12,F9,F9,80.963,9.525,1.0,1.0,0,D5,80.963,14.625,90.0,
SW6,0,5,0,GP2,GP13,F10,F10,100.013,9.525,1.0,1.0,0,D6,100.013,14.625,90.0,
SW7,0,6,0,GP2,GP14,F11,F11,119.062,9.525,1.0,1.0,0,D7,119.062,14.625,90.0,
SW8,0,7,0,GP2,GP15,F12,F12,138.113,9.525,1.0,1.0,0,D8,138.113,14.625,90.0,
SW9,0,8,0,GP2,GP22,DelR,Del,157.162,9.525,1.0,1.0,0,D9,157.162,14.625,90.0,
SW10,0,9,0,GP2,GP16,PrtSc,PrSc,176.213,9.525,1.0,1.0,0,D10,176.213,14.625,90.0,
SW11,1,0,1,GP3,GP8,Blank2,,4.763,28.575,1.0,1.0,0,D11,4.763,33.675,90.0,
SW12,1,1,1,GP3,GP9,BSpcI,BS,23.812,28.575,1.0,1.0,0,D12,23.812,33.675,90.0,
SW13,1,2,1,GP3,GP10,N7,7,42.863,28.575,1.0,1.0,0,D13,42.863,33.675,90.0,
SW14,1,3,1,GP3,GP11,N8,8,61.913,28.575,1.0,1.0,0,D14,61.913,33.675,90.0,
SW15,1,4,1,GP3,GP12,N9,9,80.963,28.575,1.0,1.0,0,D15,80.963,33.675,90.0,
SW16,1,5,1,GP3,GP13,N0,0,100.013,28.575,1.0,1.0,0,D16,100.013,33.675,90.0,
SW17,1,6,1,GP3,GP14,Minus,-,119.062,28.575,1.0,1.0,0,D17,119.062,33.675,90.0,
SW18,1,7,1,GP3,GP15,Caret,^,138.113,28.575,1.0,1.0,0,D18,138.113,33.675,90.0,
SW19,1,8,1,GP3,GP22,Yen,¥,157.162,28.575,1.0,1.0,0,D19,157.162,33.675,90.0,
SW20,1,9,1,GP3,GP16,BSpc,BS,176.213,28.575,1.0,1.0,0,D20,176.213,33.675,90.0,
SW21,2,1,2,GP4,GP9,DelI,Del,14.288,47.625,1.0,1.0,0,D21,14.288,52.725,90.0,
SW22,2,2,2,GP4,GP10,Y,Y,33.337,47.625,1.0,1.0,0,D22,33.337,52.725,90.0,
SW23,2,3,2,GP4,GP11,U,U,52.388,47.625,1.0,1.0,0,D23,52.388,52.725,90.0,
SW24,2,4,2,GP4,GP12,I,I,71.438,47.625,1.0,1.0,0,D24,71.438,52.725,90.0,
SW25,2,5,2,GP4,GP13,O,O,90.487,47.625,1.0,1.0,0,D25,90.487,52.725,90.0,
SW26,2,6,2,GP4,GP14,P,P,109.538,47.625,1.0,1.0,0,D26,109.538,52.725,90.0,
SW27,2,7,2,GP4,GP15,At,@,128.588,47.625,1.0,1.0,0,D27,128.588,52.725,90.0,
SW28,2,8,2,GP4,GP22,LBrc,[,147.638,47.625,1.0,1.0,0,D28,147.638,52.725,90.0,
SW29,2,9,2,GP4,GP16,Enter,Enter,173.831,57.15,1.25,2.0,0,D29,173.831,62.25,90.0,v2u
SW30,3,2,3,GP5,GP10,H,H,38.1,66.675,1.0,1.0,0,D30,38.1,71.775,90.0,
SW31,3,3,3,GP5,GP11,J,J,57.15,66.675,1.0,1.0,0,D31,57.15,71.775,90.0,
SW32,3,4,3,GP5,GP12,K,K,76.2,66.675,1.0,1.0,0,D32,76.2,71.775,90.0,
SW33,3,5,3,GP5,GP13,L,L,95.25,66.675,1.0,1.0,0,D33,95.25,71.775,90.0,
SW34,3,6,3,GP5,GP14,Semi,;,114.3,66.675,1.0,1.0,0,D34,114.3,71.775,90.0,
SW35,3,7,3,GP5,GP15,Colon,:,133.35,66.675,1.0,1.0,0,D35,133.35,71.775,90.0,
SW36,3,8,3,GP5,GP22,RBrc,],152.4,66.675,1.0,1.0,0,D36,152.4,71.775,90.0,
SW37,4,2,4,GP6,GP10,N,N,47.625,85.725,1.0,1.0,0,D37,47.625,90.825,90.0,
SW38,4,3,4,GP6,GP11,M,M,66.675,85.725,1.0,1.0,0,D38,66.675,90.825,90.0,
SW39,4,4,4,GP6,GP12,Comma,",",85.725,85.725,1.0,1.0,0,D39,85.725,90.825,90.0,
SW40,4,5,4,GP6,GP13,Dot,.,104.775,85.725,1.0,1.0,0,D40,104.775,90.825,90.0,
SW41,4,6,4,GP6,GP14,Slash,/,123.825,85.725,1.0,1.0,0,D41,123.825,90.825,90.0,
SW42,4,7,4,GP6,GP15,Ro,\,142.875,85.725,1.0,1.0,0,D42,142.875,90.825,90.0,
SW43,4,8,4,GP6,GP22,RShift,Shift,169.069,85.725,1.75,1.0,0,D43,169.069,90.825,90.0,
SW44,4,9,4,GP6,GP16,Up,↑,204.787,85.725,1.0,1.0,0,D44,204.787,90.825,90.0,
SW45,5,1,5,GP7,GP9,SpaceR,Space,17.621,104.775,1.75,1.0,0,D45,17.621,109.875,90.0,
SW46,5,2,5,GP7,GP10,Henkan,変換,46.196,104.775,1.25,1.0,0,D46,46.196,109.875,90.0,
SW47,5,3,5,GP7,GP11,Kana,かな,70.009,104.775,1.25,1.0,0,D47,70.009,109.875,90.0,
SW48,5,4,5,GP7,GP12,RAlt,Alt,91.44,104.775,1.0,1.0,0,D48,91.44,109.875,90.0,
SW49,5,5,5,GP7,GP13,App,App,110.49,104.775,1.0,1.0,0,D49,110.49,109.875,90.0,
